City,Country,Cloudiness,Humidity,Max Temp,Wind Speed,Lat,Lng
La Santisima Trinidad,BO,0,68,79.83,2.28,-14.83,-64.9
Bougouni,ML,0,11,74.48,5.37,11.42,-7.48
Airai,TL,4,56,79.99,6.31,-8.93,125.41
Chāmpua,IN,0,51,79.63,0.76,22.08,85.67
Ternate,ID,1,57,86.99,6.76,0.8,127.4
Ibirubá,BR,0,49,73.53,3.65,-28.63,-53.09
El Sauce,NI,0,64,71.44,5.93,12.89,-86.54
Les Cayes,HT,0,70,79.05,7.54,18.2,-73.75
Teknāf,BD,0,30,90.73,0.13,20.86,92.31
Bajil,YE,3,60,73.53,1.88,15.06,43.29
Tezu,IN,0,38,76.77,2.91,27.92,96.17
Morondava,MG,0,67,74.91,6.13,-20.28,44.28
Paranhos,BR,0,64,81.14,7.16,-23.89,-55.43
Ratnagiri,IN,0,69,70.61,6.33,16.98,73.3
Tambacounda,SN,0,7,86.0,6.93,13.75,-13.76
Pāsighāt,IN,0,47,74.71,1.05,28.07,95.33
Atambua,ID,3,68,84.0,5.68,-9.11,124.89
Padang,ID,0,59,83.71,1.7,-0.95,100.35
Batemans Bay,AU,0,42,75.0,1.99,-35.72,150.18
Pathein,MM,0,54,85.14,5.08,16.78,94.73
Encruzilhada do Sul,BR,0,50,76.01,2.91,-30.54,-52.52
Laguna,US,1,28,71.01,3.36,38.42,-121.42
Micheweni,TZ,0,70,84.4,7.52,-4.97,39.83
